,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
3010,7fe05746-bcb2-4ae7-a895-c4b0fe5571c0,RANKED_SOLO_5x5,SILVER,III,aazHV7kRg-j-wdQXr2hCzw4jUBoZ_DEOtJBDsuWtqadYrBY,Rafael07,2,58,62,False,False,False,False,
3011,a1305c25-ef27-4f71-980a-188b641d6121,RANKED_SOLO_5x5,SILVER,III,13PWU7LjIjB2hM3O7bRSz-f_TsrEMk8ssKSbKWH2QlrMy3E,Boog3yMan,61,68,68,False,False,False,True,
3012,43c4b41f-d288-4537-b1e0-c61d6442d5f6,RANKED_SOLO_5x5,SILVER,III,23rx8yGJex5L_FrkyZgCbJJmRsqvvc4F02NcB0-rgRSQ3fE,krifosEktelestis,0,50,56,False,False,False,False,
3013,a324d433-ca62-417e-a5c7-9f27d0950366,RANKED_SOLO_5x5,SILVER,III,jcISDGlqUDAvC7LbKPets_K6ubNsqFEuqjPsCxfLuyGgs9w,beny25,10,27,18,False,False,False,False,
3014,5e50f4c1-6bd4-442d-8454-22b5cedc15c1,RANKED_SOLO_5x5,SILVER,III,GivWewJ6a7pGF1WKru0y02dyMJgdYadrGV4DLk9-43SrxcM,Riksosi Bicheto,63,65,57,False,False,False,False,
3015,c51c192a-ec83-4ed7-bf96-68ba1035033a,RANKED_SOLO_5x5,SILVER,III,YhcKPqGi_elAykJC_cYBWGWkD2IL6x8JI_H9bAKmfCSaP4I,Magic Teo,0,27,29,False,False,False,False,
3016,265ed3e1-6c16-4fcc-bee4-d9799693688a,RANKED_SOLO_5x5,SILVER,III,rZXhGHEJVDvpH2WPDusRd2XXnLgVkZ6D_jdxle5XN_Ni000,Radimajster,59,3,7,False,False,False,False,
3017,abcaff04-3556-4d97-bdb5-ac1c6b91457b,RANKED_SOLO_5x5,SILVER,III,nnTHYvNRY_etjt5ZyC2DCxhDCgV1r7m37U4PVjioS35eRTc,DraxQual,53,4,9,False,False,False,False,
3018,fa70e438-671b-4303-99f6-0d56c553847b,RANKED_SOLO_5x5,SILVER,III,0YVtUcxbTdXZAoRRr_q49mzgTSEnEK7NMOpxAH3e79Vtf_o,napyerdalach,63,112,117,False,False,False,False,
3019,941f5180-f5d2-4822-9de8-2135893ed78c,RANKED_SOLO_5x5,SILVER,III,XoKumWeyGwGqJZ-IqOXpjrB-n4RUjJYmL7OudNwOjHJ2JP4,Paulius,56,8,6,False,False,False,False,
3020,ccd476e4-380a-46dc-9d49-f5193a33036c,RANKED_SOLO_5x5,SILVER,III,eTj8Hq2Upynn0MMzvOXecG9w3CvJGVNcwXrhk2J33yDv8LY,n1 sodapop,56,30,43,False,False,False,False,
3021,ffdebdd1-339d-49b9-b642-e151f427062c,RANKED_SOLO_5x5,SILVER,III,0pD8e2y3Phe4qjbppRupS0TOecto3WqknXNNTDRaJ-ygwEQ,Bahamut,0,66,75,False,False,False,False,
3022,d240825d-081d-42ea-8696-b4189ce8d69c,RANKED_SOLO_5x5,SILVER,III,qYoBwRAo2U9NlUQ4akIcSYbJEm385NwgNzbxRYhHYhvHh7g,Ergof1x,0,21,30,False,False,True,False,
3023,ef895bb6-5b56-40b4-97a8-8b442724efd3,RANKED_SOLO_5x5,SILVER,III,Tpd2cDo_k1BRPJmpanwN-pyCmhYOFcIkI_SBuOYSq1ddfMw,clozeit86,33,25,26,False,False,False,False,
3024,7ebfe0ce-d225-4b0d-8b74-2e2aa9a51955,RANKED_SOLO_5x5,SILVER,III,jA5kqREkgBquT5oYKioWCDBIH2nkc7WNjPjgZq9YGoa8boA,Gulgozaur,25,26,31,False,False,False,False,
3025,5aa8d8f7-4832-4de4-96e6-6dcb99969345,RANKED_SOLO_5x5,SILVER,III,inbwVJ_lhml3G0X2qOO1f7TApzioHrk8HQp0jAXxmaZfVAE,BB WhiteLion,8,7,3,False,False,False,True,
3026,55e39b86-2d35-41ec-b6ff-6d68130b23ef,RANKED_SOLO_5x5,SILVER,III,MEG9jjDM3lOiu-CvanN7nFMyvXBplCAvGvieU3Ks940ICZE,PlsDodgeR,57,32,26,False,False,False,False,
3027,540743c6-156f-46f6-b08c-e785c69610cf,RANKED_SOLO_5x5,SILVER,III,rtbeElfw7n0XDW-XkUq2RGKEPHv5s59yMizmGQXGJ2lBRT4,Eryk,0,32,35,False,False,False,True,
